Aircraft,Number_Objects,Engines,Origin State,Phase,Description,Object Size,Weather,Warning,Altitude,Total Cost
C,54,1,Florida,Approach,NO PHOTOS TAKEN OF DMG,Large,No Cloud,N,100,7.785305183
Hawker,37,2,New Hampshire,Approach,PILOTS HEARD THUMP SOUND OF BIRDSTRIKE ON RADOME ON APRCH. NIGHT CONDITIONS SO THERE WAS NO VISUAL OF BIRDS. SUBSEQUENT APRCH UNEVENTFUL. POSTFLT REVEALED ENG DMG FROM INGESTED BIRD. ENG REMOVED.,Medium,No Cloud,N,2000,9.418979237
BE,46,2,Kansas,Descent,"DAMAGE WAS 2' INBD FROM TIP OF LEFT WING. DENT IN LEADING EDGE ABOUT 6"" LONG AND 1"" DEEP.",Medium,No Cloud,N,2800,8.880029117
Eclipse,44,,Pennsylvania,Climb,"MALLARD STRUCK RADOME, DAMAGING BOTH RADOME AND RADAR. CARCASS COLLECTED BY ARPT OPS AND ID/ADDED TO STRIKE DATABASE BY USDA/WILDLF SPEC. MALE MALLARD DUCK ID'S FROM CARCASS COLLECTION BY USDA/WILDLF SPEC.",Medium,Some Cloud,N,300,10.74077837
BE,64,2,South Dakota,Climb,"A/C NEEDED A CONSIDERABLE AMOUNT OF RESKINNING AND SEVERAL STRINGERS WERE REPLACED. REPAIRS TOTALED OVER $17,000. (DATA ENTRY NOTE: ORIGINAL REPT SHOWED COST AT $30,000)",Large,No Cloud,Y,200,9.87277058
B-737,39,2,Florida,Climb,HEARD A THUMP BELOW PILOT'S WINDOW. FOUND RED STREAK ON POST FLT INSPN. ABOUT 2 X 10 INCHES. ENGS NORMAL.,Small,No Cloud,N,500,4.709530201
B-737,35,2,Nebraska,Approach,"SHORT FINAL. DUCK? JUST A SPLAT. COST WAS FOR INSPECTION. DATA ENTRY NOTE: # STRUCK NOT REPTD, ASSUME 1.",Small,Some Cloud,N,200,5.755742214
B-727,56,3,Kentucky,Approach,SAW BIRD IN LDG LIGHTS. HEARD  STRIKE NEAR COCKPIT. FOUND REMAINS ON STALL VANE ON RT SIDE.,Small,No Cloud,N,1700,3.988984047
DHC,41,2,Oregon,Approach,"7-8 BIRDS SUDDENLY APPEARED I FRONT OF A/C. SEVERAL HIT NOSE & WINDSHLD. FORCE OF IMPACT FRACTURED INNER PANE ON CAPT SIDE. NUMEROUS SMALL PIECES OF GLASS IHT CPT IN FACE, SCALP & CHEST. HE TURNED CONTROL OVER TO F/O FOR LDG. EMERG POWER SWITCHED ON AFTER",Medium,No Cloud,N,1000,11.72380208
Merlin,53,2,South Dakota,Descent,ENG WILL BE EXAMINED. DOWN TIME NOT KNOWN. NO INGESTION. BENT INTAKE ON RT ENG. L ENG ALSO TOOK A STRIKE.,Large,No Cloud,Y,2200,4.043051268
BE,41,2,Oklahoma,Approach,"CROW? RT WING LE DAMAGED. COST RANGE $10-15,000.",Medium,No Cloud,N,2500,9.59164939
C,46,1,Illinois,Take-off run,"BIRD LEFT SOFTBALL SIZED DENT IN L WING. (DATA ENTRY NOTE: BIRD REPTD AS GOOSE, ASSUME CANADA GOOSE FROM DATE) PILOT BELIEVES A/C WAS OUT OF SERVICE FOR A MONTH. THIS WAS A LEASED A/C.",Large,Overcast,N,0,9.150165649
PA,19,2,California,Take-off run,ATIS. BIRDS FLEW ACROSS RWY DURING T/O ROLL. COST REPTD FOR A/C WITH  MECHANIC TO BE DISPATCHED TO INSPECT STRUCK A/C.,Small,No Cloud,Y,0,6.70930434
Learjet,44,2,Indiana,Climb,NO DMG. PREC ENG INSPN AT DESTINATION.,Small,No Cloud,N,200,4.343805422
C,69,2,Louisiana,Landing Roll,"TWO DEER STRUCK BOTH ENGINES (PROPS) SHORTLY AFTER TOUCHDOWN. BENT BOTH PROPS, DAMAGED L ENGINE INLET, TORE OF LEFT GEAR DOOR.",Large,Overcast,N,0,12.00480066
DA,52,3,Texas,Climb,BIRD CRACKED NOSE CONE.  RENTED ONE UNTIL REPAIRS WERE MADE. MAY TAKE A FEW MONTHS.,Large,No Cloud,N,3500,9.384713759
B-737,62,2,California,Take-off run,NO DMG. ARPT HAD NO INFO ON THIS. HIT 5 SML BIRDS ON DEPTR (ASSUME TAKE OFF RUN). NO REPTD DMG. FLT CONTD.,Small,Some Cloud,Y,0,5.375278408
Airbus,45,2,DC,Approach,"AS FLT 1701 WAS ON APRCH TO KDCA, 2 SMALL BLACK BIRDS WERE SEEN AND ONE STRUCK ON THE WINDSCREEN. NO DMG TO EQUIPMENT.",Small,Overcast,N,100,4.787491743
B-757,69,2,Hawaii,Landing Roll,"WS PICKED UP 5 CARCASSES FROM RWY 35 AT 3000' RM. A/C WAS UNABLE TO LEAVE AND WAS DOWN FOR 36 HRS AFTER AA MX CONDUCTING BORESCOPE OF #2 ENG FOUND NO DMG. PART OF WING AND FEATHERS WERE PULLED OUT OF THE ENG. ESTIMATED COST FOR ENTIRE EVENT WAS $300,000.",Small,Some Cloud,Y,0,12.63789727
B-737,59,2,California,Descent,"ID BY SMITHSONIAN. LEFT WING ROOT CRACKED FAIRING AND RIVETS POPPED. SUBSTANTIAL DMG TO K-FLAPS, WING ROOT, WING AND BODY FAIRING AND UNDERLYING STRUCTURE. A/C TAKEN TO SEATTLE FOR REPAIRS.",Large,No Cloud,N,7500,12.07254125
B-727,60,3,Arizona,Descent,"COST FOR 1 HR INSPN. $45. HIT NOW, RT FWD SIDE.",Small,No Cloud,N,3000,3.970291914
B-737,46,2,Oregon,Climb,FLT 108 HAD A BROKEN NOSE GEAR LANDING LGT BROKEN. GLASS ON RWY. RWY WAS CLOSED FOR 1 HR FOR CLEAN UP OF BIRD REMAINS AND GLASS. A/C WAS REPAIRED IN KANSAS CITY.,Large,No Cloud,Y,100,7.754481547
C,42,2,Montana,Climb,DAMAGED RT WING UPPER LEADING EDGE 2' INBD FROM TIP TANK AND LWR NOSE AREA BY OPENING FOR AIR INLET FOR HEATER.,Large,No Cloud,N,720,8.754476306
B-737,33,2,Hawaii,Landing Roll,STRIKE AT INTXN OF RWY 20 & TWY F. AT 1839. CARCASS RECOVERED. RADOME WAS TAPED. A/C RETD TO HNL WITH FLT CREW ONLY. INGESTION IN #1 ENG ACCORDING TO AIRLINE. NO DMG TO ENG.,Small,Some Cloud,Y,0,8.750524669
B-737,54,2,California,Climb,"BIRD HIT LWR NOSE GEAR AND BOUNCED OFF TO IMPACT L WING INBD FRUGER FLAP AREA. (DATA ENTRY NOTE: NO DMG REPTD, COST MAY HAVE BEEN FOR INSPN)",Small,No Cloud,N,200,5.484796933
B-737,47,2,Florida,Approach,#2 ENG INGESTED A BIRD.,Small,No Cloud,N,95,5.703782475
EMB,44,2,Utah,Climb,"ID BY SMITHSONIAN,F AA 3462, DNA. HIT BIRD ON DEPRTR 6800 MSL. RETD TO ARPT. BIRD WAS INBEDDED IN NOSE CONE. REPLACEMENT A/C  REACHED DESTINATION WITH A DELAY OF 90 MINS. PHOTOS.",Large,Some Cloud,Y,2600,11.97110952
MD,50,2,Colorado,Approach,"REPLACED RADOME ASSEMBLY, WX RADAR DISH AND DRIVE ASSEMBLY FOR RADAR. PHOTO OF RADOME ATTACHED. BIRD ID BY R HEINEN.",Medium,No Cloud,N,5000,9.3314069
Citation,65,2,Florida,Landing Roll,"ON LDG FLARE, ABOUT 100 SML BIRDS WERE ON RWY. THEY FLEW UP CONTACTING THE A/C. LATER TWR REPTD 48 BIRDS WERE PICKED UP. (SMALL BLACK BIRDS). A/C WAS INSPECTED, ENG BORESCOPED. NO DMG.",Small,Some Cloud,N,0,6.398594935
EMB,60,2,DC,Approach,ATIS WARNING. DMG TO WINGTIP. LIGHT ASSEMBLY.,Large,No Cloud,Y,300,8.452334619
DA,59,2,N/A,Approach,"FLOCK OF BANDED RACING PIGEONS FLEW ACROSS RWY AS WE WERE IN FLARE FOR T/D. 5 WERE HIT. 1 ON WINDSCREEN, 3 ON RT FWD FUSELAGE & 1 ON RT LDG GEAR DOOR. NO INGESTIONS. SLIGHT DENT IN FWD FUSELAGE AND CRACKED PAINT.",Small,No Cloud,N,5,9.785773265
C,63,2,Texas,Descent,ABOUT 5 MI E OF KNEAD INTXN HEARD LOUD POP & SAW SML BLK OBJECT FLY BACK FROM NOSE TO THE LEFT. ENG INSTRUMENTS & FLT CHARACTERISTICS OK. CONTD FLT. FOUND MODERATE DMG & FEATHERS ON TOP L SIDE OF RADOME. CRACKS & BREAKING AWAY OF TOP FIBERLASS LAYERS.,Small,No Cloud,N,6100,9.145375093
Diamond,57,2,Florida,Climb,ID BY SMITHSONIAN. A/C STRUCK SMALL BIRD SHORTLY AFTER LIFTING OFF FROM RWY 16. BIRD STRUCK PROP AND VAPORIZED.,Small,Some Cloud,Y,25,3.931825633
BE,59,2,Ohio,Take-off run,"HIT 2 HERRING GULLS. PLANE TAXIED TO MILLIONAIRE AND WAS LEFT FOR PRECAUTIONARY REASONS. PILOT REPTS NO APPARENT DMG. FOLLOW UP CONFIRMED NO DMG, COST WAS FOR INSPN.",Medium,Overcast,Y,0,6.582025139
B-737,66,2,California,Approach,"ID BY SMITHSONIAN, FAA 3970. BIRDSTRIKE ON FINAL APCH.  FLT CREW LEFT BEFORE PROVIDING ANY INFORMATION. 2 FAN BLADES WERE REPLACED BEFORE A/C WAS RETURNED TO SERVICE. A/C DEPTD 12/19 AT APPROX 1230.",Medium,Overcast,Y,1200,12.3102029
B-767,62,2,Utah,Approach,NO DMG. INGESTED ONE. HIT 6-8 ON FINAL APCH. . BORESCOPED. COST REPTD FOR INSPN.,Large,Some Cloud,N,1200,6.582025139
B-737,35,2,California,Approach,TIME OUT OF SERVICE 0.4 HRS.,Small,No Cloud,Y,2200,5.602118821
A-23,50,,Oklahoma,Landing Roll,STRUCK DEER DURING TOUCHDOWN. SOME EVIDENCE THAT DEER HAD CONTACT WITH PROPELLER BEFORE BEING STRUCK BY THE WING. LEFT WING DENTED AND FUEL TANK RUPTURES. EMERGENCY VEHICLES FROM STILLWATER FIRE DEPT WERE CALLED TO HANDLE SPILL.,Large,No Cloud,N,0,7.313220387
Learjet,70,2,Florida,Landing Roll,BIRD REMAINS PLUGGED ENG AND DAMAGED MANY PARTS INTERNALLY AS WELL AS FAN BLADES. 11 INLET GUIDE VANES AND 7 1ST STAGE COMPRESSOR BLADES DAMAGED. BIRD DEBRIS THUR CORE AND BYPASS SECTION OF ENG.,Large,No Cloud,N,0,13.23931051
BE,47,2,New Hampshire,Take-off run,A/C GROUNDED PENDING ENG CONDITION EVALUATION. BORESCOPED. NO DMG.,Small,Some Cloud,N,0,7.70616297
EMB,35,2,California,Approach,FOUND BLOOD SPLATTERED ON NOSE GEAR STRUT. A/C OUT OF SERVICE 0:10 HRS,Small,Some Cloud,N,2500,6.345636361
BE,40,2,Texas,Approach,"BIRD HIT RADOME ALMOST DEAD CENTER. DAMAGE WAS 5-6"" IN DIAMETER AND ABOUT 2"" DEEP.",Medium,Overcast,N,2000,8.989444293
EMB,45,2,Missouri,Approach,NO DMG. BIRD BRUSHED FLAP. 1000 FT FROM RWY 14.,Large,No Cloud,N,500,4.634728988
Learjet,72,2,Illinois,Climb,"A/C INGESTED LITTLE BLACK BIRDS IN BOTH ENGS CAUSING THEM TO SHUT DOWN WITH MINIMAL ALT AND TIME, A/C DID A FORCED LANDING IN A WHEAT FIELD ABOUT 4 MILES FROM DEPTR ARPT. ON TOUCHDOWN, FIRE BROKE OUT AND DESTROYED THE A/C. PILOT AND CO-PILOT HAD SERIOUS I",Small,No Cloud,N,500,13.7387051
B-757,68,2,Oregon,Take-off run,A/C PROCEEDED TO ORD WITH BROKEN LDG LIGHT.  SOME GLASS FOUND ON RWY. REPAIRED ON ARRIVAL.,Medium,No Cloud,Y,0,5.758901774
B-737,50,2,Texas,Approach,LOCATION REPTD AS APPROX 5NM FINAL.,Small,No Cloud,N,1600,6.214608098
B-737,39,2,Connecticut,Take-off run,DMG TO #2 FAN. COST WAS FOR FAN BLADE REPLACEMENT.,Small,Overcast,Y,0,8.541885804
Learjet,75,2,Massachusetts,Climb,"ID BY SMITHSONIAN, FAA 3864. MICRO & DNA. PILOT SAYS ATIS DID NOT INDICATE BIRD ACTIVITY IN VICINITY OF AIRFIELD. TIME OUT OF SERVICE 2.5 HRS. RETD TO AIRPORT FOR INSPN. NO DMG.",Medium,No Cloud,N,800,7.056175284
BE,20,2,Florida,Landing Roll,UPON LDG ROLLOUT WE SAW A LRG BROWN BIRD FLYING SLOWLY FROM RT TO LEFT IN FRONT OF US. WITH MAX BRAKING AND FULL REVERSE WE WERE UNABLE TO AVOID CONTACT.,Large,Overcast,N,0,8.425954711
Hawker,45,2,Indiana,Landing Roll,ENG DMGD.,Small,Some Cloud,N,0,11.29205433
PA,46,1,North Carolina,Take-off run,"DMG CAUSED TO LE OF RT WING AT THE ROOT. DENT OF ABOUT 4"" WITHIN THE WING. RT FUEL TANK PERFORATED. RT MAIN GEAR IMPACTED BUT SLIGHTLY DMGED.",Large,Overcast,Y,0,10.15300036
PA,73,1,Nebraska,Landing Roll,DEER. SUBSTANTIAL DMG REPTD TO RT WING. NTSB NOTIFIED. OPER = STEPHEN STRIPE. DEER NOT SEEN. PLANE WAS IN LANDING ATTITUDE AND WAS ON THE MIAN LDG GEAR STARTING THE ROLLOUT WHEN DEER. HIT. LOST SOME CONTROL ON RWY BUT REGAINED IT.  DEER HIT RT INBD WING.,Large,No Cloud,N,0,9.853036009
B-747,60,4,N/A,Descent,,Medium,Some Cloud,N,5000,6.478509642
B-737,45,2,Utah,Approach,ID BY SMITHSONIAN. FIRST REPT INDICATED DENT IN LEADING EDGE OF LEFT WING. REPORT WAS REVISED TO INDICATE MX FOUND NO DMG. 4 HRS AND $400 FOR INSPN.,Small,Some Cloud,Y,1000,6.018593214
B-737,46,2,California,Descent,LOCATION REPTD 35 MILES FROM LAX. ABOVE F/O WINDSCREEN. NO DMG REPTD OR SAMPLE COLLECTED BY MX. NO DMG REPTD OR SAMPLE COLLECTED BY MX. WS TOLD BY MX THEY DID NOT KNOW THAT BLOOD OR SNARGE SAMPLES COULD BE COLLECTED FOR ID. A/C OUT OF SERV TIME REPTD AS 4,Small,Some Cloud,N,10000,9.185432736
Airbus,32,2,Florida,Climb,"RADAR ANTENNA DAMAGED, RADOME CAVED IN. NOT REPAIRABLE. RETURNED TO LAND OVERWT. FLT WAS DELAYED.",Large,Some Cloud,Y,1800,10.30695066
BA,56,2,Kentucky,Landing Roll,"ID BY SMITHSONIAN, FAA 1144. #2 ENG 1ST STAGE CENTRIFUGAL COMPRESSOR BLADE DEFORMED AND ADJACENT BLADE SCRATCHED. ENG HAD TO BE SENT OUT FOR REPAIR. THRE ARE CROPS AROUND ARPT.",Small,Overcast,N,0,12.17185898
C,39,1,Minnesota,Descent,ID BY SMITHSONIAN. ID BY PHOTO. WINDSHIELD AND INTERIOR DMG.,Medium,No Cloud,N,3000,8.543640361
B-737,45,2,California,Landing Roll,"ENG PARAMETERS NORMAL, BUT NEEDS INSPN. COST WAS FOR INSPN",Small,Some Cloud,Y,0,6.974478911
B-737,38,2,Oklahoma,Approach,,Small,No Cloud,N,1500,4.787491743
B-757,51,2,California,Climb,"# STRUCK NOT REPTD, ASSUME 1.",Large,No Cloud,N,1000,9.956222308
Airbus,47,2,New York,Take-off run,ID BY SMITHSONIAN. PILOT REPT. AS WE ACCELERATED FOR T/O I SAW A LRG BIRD ON LEFT HALF OF RWY T/O AND FLY TOWARDS THE RT SIDE. I PUSHED POWER UP TO TO GO AROUND AND CONTD THE T/O IN HOPES THE BIRD WOULD CHANGE DIRECTION. WE HIT THE BIRD AFTER IT CHANGED D,Medium,Some Cloud,Y,0,9.233470789
B-737,56,2,California,Take-off run,NO DMG TO A/C. NO COMMUNICATION WITH ARPT OPS.,Small,Some Cloud,Y,0,5.323009979
DHC,42,2,Washington,Landing Roll,TWR CLOSED. LDG ABOUT 2355 PST. BIRD CROSSED IN FRONT OF A/C DURING LDG ROLLOUT AND HIT L WING OTBD OF ENG NACELLE. FOUND REMAINS ON L WING LEADING EDG EAND A TEAR IN THE DE ICE BOOT OF 1/4 INCH. REMAINS WERE COLLECTED BY THE FIRE DEPT. OUTBOUND FLT WAS C,Large,No Cloud,N,0,10.11904238
AIA,50,2,Connecticut,Approach,"NOTICED BIRDS ON THRESHOLD LIGHTS AND GRASS. THEY FLEW UP ON OUR ARRIVAL. SML DENT IN SIDE SKIN, LHS FIRST BLUKHEAD AFT OF RADOME. COST 200-2000 IF SKIN HAS TO BE REPLACED.",Small,Some Cloud,N,50,7.890956716
Citation,30,2,New Mexico,Approach,"DMG TO OUTSIDE ANTI-ICE AREA OF LE RT WING. 6""-7"" DIA DENT ABOUT 1-1.5"" DEEP WITH BIRD REMAINS CONTINUING INTO RT MAIN LDG GEAR.",Medium,Some Cloud,N,300,6.095824562
BE,49,2,Michigan,Take-off run,3 DEER WERE CROSSING RWY. LAST ONE RAN INTO L PROP TWISTING ONE OF 3 BLADES. 3 MORE DEER WERE SEEN N OF RWY. PROP HAD TO BE OVERHAULED AND ENG HAD TO BE DISASSEMBLED FOR INSPN.,Large,Some Cloud,N,0,9.905784912
BE,54,2,West Virginia,Take-off run,11 PAX. NO ONE WAS HURT. PROP BROKE OFF. REMOVED ENG DUE TO DAMAGE.,Large,No Cloud,Y,0,10.39022538
DA,50,3,Ohio,Approach,,Medium,No Cloud,N,1800,12.17444265
B-747,60,4,Washington,Approach,FAN BLADE DMG.,Medium,No Cloud,N,1800,12.34491678
B-737,50,2,Colorado,Take-off run,ID BY SMITHSONIAN. PS FOUND HAWK ALONG WITH PARTS ON RWY. USDA/WS COLLECTED FEATHER SAMPLE FROM PARTS TO BE SURE STRIKE WAS THE SAME BIRD. A/C REPAIRED AT DESTINATION.,Medium,No Cloud,N,0,5.298317367
PA,28,1,Florida,Take-off run,"AIRPORT REPT SAYS, "" SMALL STRIKE TO ENGINE COWLING. AIRPORT HAS TAKEN CONSIDERABLE MEASURE TO PREVENT WILDLIFE STRIKES A PRESCRIBED B THE 150 SERIES OF THE ADVISORY CIRCULARS."" OTHER REPORT SAYS, ""EXTENSIVE STRUCTURAL DAMAGE UNDER THE NOSE. FUEL LINE CUT",Large,No Cloud,N,0,7.392031568
BE,49,2,Wisconsin,Approach,"ID BY SMITHSONIAN, FAA 2455. PILOT REPORTE A GULL WAS INGESTED  INTO AND THROUGHOUT LEFT ENG.  VEHICLE FOUND PART OF CARCASS ABOUT 50' SHORT OF RWY 15L IN GRASS. COMPANY USED RENTAL ENG DURING REPAIR. 1 STAGEIMPELLER WAS DAMAGED. ENG WAS DISASSEMBLED FOR",Medium,Overcast,N,200,11.581957
CL,42,2,California,Descent,25 MI N OF  BUR.  SKW PILOTS ADVISED SKY OPS OF BIRDSTRIKE ON FINAL DESCENT TO BUR RWY 8. REMAINS (BLOOD/SMALL PARTS OF FEATHERS) WERE DISCARDED PRIOR TO ARPT OPS ARVL AND WERE NOT SAVED. A/C MX DESCRIBED SMALL PIECES OF FEATHERS AS BLACK. A/C MX CHARGED,Small,No Cloud,N,9500,4.369447852
AG,65,1,Texas,Approach,FLT CHARACTERISTICS NOT EFFECTED BY DENT IN LE OF WING. MADE TEMPORARY REPAIR,Medium,Overcast,N,600,7.955775782
C,53,2,Texas,Landing Roll,"ID BY SMITHSONIAN. FAA 6862, WHOLE FEATHER. BIRD ON RWY DURING ROLLOUT. FLEW UP AS WE NEARED. FLEW BY CAPT WINDOW AND INTO ENGINE. THRUST REV WERE ALREADY DEPLOYED. ONE OF SEVERAL BIRD ON RWY AT THAT TIME. NO ENG DMG. BIRD WENT THRU FAN AND BYPASS DUCT. C",Small,Some Cloud,N,0,6.214608098
BE,53,1,Missouri,Landing Roll,"LEADING EDGE OF LEFT WING, PITOT TUBE, LEFT SIDE WINDOW AND CENTER SECTION BETWN WINDOWS WERE DAMAGED. A/C WAS OUT OF SERVICE UNTIL APPROX SEPT 9TH.",Large,No Cloud,N,0,9.73305504
Learjet,55,2,West Virginia,Landing Roll,DEER JUMPED IN FRONT OF A/C. CREW DID NOT HAVE TIME TO AVOID. EXTENSIVE DMG TO RADOME WITH COLLATERAL DMG TO NOSE. BLOOD ON L WING ROOT. TOTAL DMG UNKN,Large,No Cloud,N,0,11.80076253
CL,45,2,Tennessee,Approach,RT WING L/E DMG.,Small,Some Cloud,Y,10,6.240275845
Citation,44,2,Louisiana,Descent,"DMG TO LE OF VERT STABIL. ABOUT 2' FROM THE TOP. AREA OF DMG WAS 14' TALL, 3-4"" WIDE AND 3"" DEEP. NO CRACKS OR OTHER STRESS NOTED DURING VIS INSPN. DENT IN METAL. FOUND SML, GRAY, DOWNY FEATHERS. PHOTO ATTACHEDTO REPT.",Medium,No Cloud,N,7000,8.209580483
Airbus,60,2,Pennsylvania,Climb,"NO DMG TO A/C. DATA ENTRY NOTE: # STRUCK NOT REPTD, ASSUME 1, SAME AS # SEEN.",Small,Some Cloud,N,200,5.351858133
C,58,1,Florida,Approach,"ID BY SMITHSONIAN, FAA 3792, DNA. WHILE ON APCH FOR LANDING, HIT 1 IRD ABOUT 1/4 MILE FROM ARPT. THE WINDSHIELD WAS DESTROYED. NO INJURIES. PHOTOS.",Large,No Cloud,N,700,7.142827401
B-737,48,2,Texas,Approach,"ON SHORT FINAL, A THUD WAS HEARD BELOW CAPT'S SIDE WINDOW. FLT LANDED UNEVENTFULLY. FOUND SML SMEAR AT LOCATION WHERE THUD WAS HEARD AND 2 SEPARATE BLOOD SMEARS WITH POSSIBLE FEATHER REMNANTS JUST INBD OF #1 ENG ON THE WING. NO INDICATION OF INGESTION.",Small,No Cloud,Y,100,5.755742214
B-727,53,3,California,Approach,DIDNT SEE ANY BIRDS IN FLT. DMG TO L WING JUST FWD OF TE FLAPS.,Medium,No Cloud,N,10000,8.701679071
B-737,51,2,Texas,Take-off run,EVIDENCE OF BIRDSTRIKE. NO DMG. COST OFR CONTRACT MAINTENANCE.,Small,Overcast,N,0,4.812184355
BE,48,2,Alaska,Approach,DENTED L WING LE,Medium,No Cloud,N,75,8.276394705
BE,46,2,New York,Approach,DMGD RT LDG LIGHT LAMP AND DOOR.,Medium,Some Cloud,N,400,8.86092473
B-757,79,2,California,Landing Roll,BIRDSTRIKE ON LDD ROLLOUT. SEVERAL SML BIRDS (ASSUME 2-10). UNDER RADOME. 1 MAN HR FOR INSPN. (UNKN REPORTER SAID PHASE WAS 100' AGL ON APCH),Small,Overcast,Y,0,4.394449155
C,66,2,California,Approach,"RADOME DESTROYED ($10-20,000). LARGE BROWN AND WHITE BIRD. 5-10 DAYS OUT OF SERVICE",Large,No Cloud,N,50,9.905784912
C,63,2,Michigan,Approach,5 GEESE STRUCK (ASSUME CANADA FROM DATE AND LOCATION).  LARGE DENT RT WING. WING TIP DAMAGED.,Large,Overcast,N,10,11.69351218
PA,64,1,Florida,Climb,"BIRD HIT FUEL STRAINER DRAIN PROTRUDING FROM L LWR COWLING. IT BROKE THE STRAINER ENOUGH TO CAUSE FUEL PRESSURE LOSS, MASSIVE FUEL LEAK AND COMPLETE ENG FAILURE. PRECAUTIONARY LANDING.",Small,Some Cloud,N,400,5.913503006
B-737,55,2,Ohio,Landing Roll,A/C LIGHT WAS BROKEN.,Small,No Cloud,Y,0,5.834810737
B-737,33,2,California,Climb,"ON CLIMB JUST AFTER CLEARING LOW FOG BANK, LRG BIRD WENT ALONG L SIDE AND HIT #1 ENG INLET COWLING ON UPPER OUTSIDE. LRG DENT ABOUT 8"" BY 3"" AND AT LEAST 1"" DEEP. NO INDICATIONS ON ENG INSTRUMENTS. ENG WORKED NORMALLY. CONTD TO LAX WHERE A/C WAS REMOVED F",Large,Overcast,Y,1200,10.56885235
DA,44,2,Illinois,Landing Roll,"DMG TO OTBD SLAT REQUIRING OVERHAUL. BIRD REPTD AS GOOSE, ASSUME CANADA, FROM DATE AND LOCATION.",Large,Overcast,N,0,11.47429898
EMB,42,2,Connecticut,Approach,"BIRD ID BY SMITHSONIAN FAA 187. 2 GEESE. 1 HIT F/O WINDSHLD, OTHER #1 ENG. SUBST. DMG NOTED AFTER SHUTDOWN AT GATE. ENG REQD CHANGE.",Large,No Cloud,N,400,13.25423865
CIRRUS SR 20/22,53,1,Pennsylvania,Landing Roll,"ARPT PERIMETER FENCE HAD BEEN REMOVED ALONG THE S BORDER. COLLISION WITH SEVERAL DEER WOULD HAVE BEEN INEVITABLE AND POSSIBLY FATAL, 2 SECONDS EARLIER. SAW 6 DEER. HIT RT WINGTIP. NO INJURIES. MINOR DMG. A/C - CIRRUS SR 20",Large,Overcast,N,0,10.14073123
RKWL,53,2,Georgia,Climb,"INITIAL CLIMB, GEESE SPOTTED COMING UP IN FRONT OF A/C. NO TIME TO AVOID. NUMEROUS STRIKES, #1 ENG FAILED DUE TO INGESTION. FLT DIVERTED TO AGS & LANDED UNEVENTFULLY. 14 GEESE FOUND ON RWY. 3 FOUND ON A/C INLET. MIN STRUCK 17. ID BY SMITHSONIAN FAA 910.",Large,Some Cloud,N,50,13.49252872
MD,46,2,Florida,Take-off run,IMMATURE BALD EAGLE. DNT TO RT SIDE ANGLE OF ATTACK VANE. SMALL DENT IN FROTN OF AOA. A/C RETURNED TO LAND. FLT DELAYED 4 HRS 20 MINS. CREW PERFORMED A LOW APCH TO HAVE A/C INSPECTED FROM GROUND BEFORE LANDING.,Large,Some Cloud,Y,0,9.334591334
B-757,48,2,Kentucky,Landing Roll,FLT1040,Large,Some Cloud,Y,0,10.59890715
B-737,58,2,California,Approach,"ID BY SMITHSONIAN, FAA 3155. #1 ENG AND PITOT SYSTEM WERE CLEANED WITH NO DMG FOUND DURING INSPN. AIR/OIL FILTER WAS REPLACED.",Small,Some Cloud,N,50,9.109303828
C,45,1,California,Approach,"ATIS WARNING. FEW DENTS ON WING. DUE TO HIGH WORKLOAD AT REPAIR SHOP, A/C WAS OUT OF SERVICE 2.5-3MONTHS. USUAL TIME FOR THIS REPAIR WOULD HAVE BEEN 65 HRS. LOST REVENUE NOT CALCUALTED.",Small,No Cloud,Y,200,8.728102205
B-52H,43,,Louisiana,Approach,,Medium,No Cloud,Y,800,9.39507568
B-737,49,2,Florida,Approach,"ONE MILE SHORT FINAL. RADOME DMGED AT 4 O'CLOCK POSITION IF YOU WERE LOOKING AT NOSE OF A/C. LARGE DENT, OVER A FT WIDE, 8 INCHES DEEP OR SO. BLOOD REMAINS. PAINT PEELED OFF. SOME FEATHERS. NO DMG TO ENG.",Large,No Cloud,N,400,8.032684876
DA,57,2,Ohio,Descent,"A/C WAS NOT OUT OF SERVICE FOR OVER A DAY DUE TO REPLACEMENT LOANER PARTS. ONLY DMG TO ENG WAS THE NACELLE LIP OR INLET, WHICH HAD A DENT. PILOT ESTIMATES REPAIR AT OVER $25,000. BIRD NOT IDENTIFIED BUT SHADOW HE SAW WAS  THE SIZE OF A MEDIUM GULL.",Medium,No Cloud,N,7100,10.258431
Citation,49,2,Arkansas,Climb,"VULTURE OR RAVEN. CENTER STRIKE. BIRD TRAVELED UP CENTER OF WINDSCREEN OVER TOP OF THE TAIL. SAW 4, HIT 1.",Large,No Cloud,N,2100,11.3175673
Airbus,54,2,Wisconsin,Approach,"MX INSPN FOUND EVIDENCE OF BIRDSTRIKES ON LWR L SIDE OF RADOME, CAPT'S WINDSHLD, L INNER WING LEADING EDGE, AND NUMEROUS STRIEKS TO #1 ENGINE. NO OBVIOUS DMG NOTED DURING VISUAL INSPN. HOWEVER NOTED THAT BIRD WAS INGESTED INTO CORE WHICH REQUIRES A BORESC",Medium,Some Cloud,N,1000,8.897135342
CL,54,2,Louisiana,Approach,"10 MILE FINAL. DATA ENTRY NOTE: # STRUCK NOT REPTD, ASSUME 1, SAME AS # SEEN.",Medium,Some Cloud,Y,3000,6.045005314
